Date,equity
2019-08-09,1.0
2019-08-13,1.0
2019-08-14,1.0
2019-08-16,1.0
2019-08-19,1.0
2019-08-20,1.0
2019-08-21,1.0
2019-08-22,1.0
2019-08-23,1.0
2019-08-26,1.0
2019-08-27,1.0
2019-08-28,1.0
2019-08-29,1.0
2019-08-30,1.0
2019-09-03,1.0
2019-09-04,1.0
2019-09-05,1.0
2019-09-06,1.0
2019-09-09,1.0
2019-09-11,1.0093444940860101
2019-09-12,0.9810396799876788
2019-09-13,0.9854453125188075
2019-09-16,0.9904362898076048
2019-09-17,0.9778321486823588
2019-09-18,0.9733139080861273
2019-09-19,0.9605155939904904
2019-09-20,1.0055600259126685
2019-09-23,1.038720671154828
2019-09-24,1.0240517469724173
2019-09-25,1.0023036363714928
2019-09-26,1.0145369445918588
2019-09-27,0.9954148232539484
2019-09-30,0.9922474101207382
2019-10-01,0.962748116351678
2019-10-03,0.9750218544242557
2019-10-04,0.9542587255987874
2019-10-07,0.9385553093675889
2019-10-09,0.9454615938761011
2019-10-10,0.9366438821912538
2019-10-11,0.9390487351622491
2019-10-14,0.9440276129797022
2019-10-15,0.9478199718181203
2019-10-16,0.9521536418968274
2019-10-17,0.9553101214791103
2019-10-18,0.9551323632365658
2019-10-22,0.9627744346711155
2019-10-23,0.9614871525458456
2019-10-24,0.9519436737325179
2019-10-25,0.9551985153500695
2019-10-27,0.9468835773568938
2019-10-29,0.982046760408573
2019-10-30,0.9790805794194676
2019-10-31,1.0008452200154283
2019-11-01,0.995880652088082
2019-11-04,1.0019786267252289
2019-11-05,0.9847025176179661
2019-11-06,0.9793891684789972
2019-11-07,0.9803417255124954
2019-11-08,0.9647939674696621
2019-11-11,0.9635741513157488
2019-11-13,0.9526708303069383
2019-11-14,0.9423230546373177
2019-11-15,0.9502644149645207
2019-11-18,0.9533871513504515
2019-11-19,0.949393420442405
2019-11-20,0.9425868734549796
2019-11-21,0.9187093669929913
2019-11-22,0.9101816452002243
2019-11-25,0.9289628970234006
2019-11-26,0.9040109141321556
2019-11-27,0.8979255780040297
2019-11-28,0.8955918744334379
2019-11-29,0.8933536021952285
2019-12-02,0.8882715497907204
2019-12-03,0.86924194157484
2019-12-04,0.8749178135625943
2019-12-05,0.8602456248596403
2019-12-06,0.8578948838585867
2019-12-09,0.8524342181619493
2019-12-10,0.848792646803067
2019-12-11,0.8528880833666267
2019-12-12,0.8550413170755169
2019-12-13,0.8543717112216832
2019-12-16,0.8430434358586221
2019-12-17,0.8489902890374686
2019-12-18,0.8419881219009547
2019-12-19,0.8539957235423699
2019-12-20,0.8595569451011599
2019-12-23,0.8525883848095558
2019-12-24,0.8506718754333638
2019-12-26,0.8478956140952367
2019-12-27,0.8482454596544183
2019-12-30,0.8479853510040598
2019-12-31,0.8472381620455762
2020-01-01,0.8464771002894148
2020-01-02,0.8544920895688567
2020-01-03,0.8458916901439527
2020-01-06,0.833037196616718
2020-01-07,0.8304460762940383
2020-01-08,0.8366750273135216
2020-01-09,0.8295912725603382
2020-01-10,0.8259567786551861
2020-01-13,0.8362339871307073
2020-01-14,0.8513634882709059
2020-01-15,0.8386588386798433
2020-01-16,0.8285226355138925
2020-01-17,0.825087670548978
2020-01-20,0.8225532506867946
2020-01-21,0.8208543211268797
2020-01-22,0.8061157165154677
2020-01-23,0.8093430182899146
2020-01-24,0.8139192342052574
2020-01-27,0.8135404627194738
2020-01-28,0.8055871528265858
2020-01-29,0.8021636654413615
2020-01-30,0.7908273357364463
2020-01-31,0.7859105689282943
2020-02-03,0.7969486278790967
2020-02-04,0.7898117835666748
2020-02-05,0.7857037504629102
2020-02-06,0.7816869222738173
2020-02-07,0.7792161228799415
2020-02-10,0.776821379322524
2020-02-11,0.7747293884808387
2020-02-12,0.7721030328205047
2020-02-13,0.7749308756758346
2020-02-14,0.7693824376600951
2020-02-17,0.7697997544492299
2020-02-18,0.7596813894886576
2020-02-19,0.757181294177388
2020-02-20,0.7562524653757304
2020-02-24,0.744425216886884
2020-02-25,0.7373597605959862
2020-02-26,0.7294419354349678
2020-02-27,0.7317554812818059
2020-02-28,0.7228740387447162
2020-03-02,0.7109292466365291
2020-03-03,0.7150498649132806
2020-03-04,0.707127739362579
2020-03-05,0.7070442119951923
2020-03-06,0.718213555695838
2020-03-09,0.6988094333610898
2020-03-11,0.6905770274092367
2020-03-12,0.6511116423931858
2020-03-13,0.6935643561649362
2020-03-16,0.6651606642108612
2020-03-17,0.6637041873907219
2020-03-18,0.6122497005817413
2020-03-19,0.6160972370636413
2020-03-20,0.6540400119396387
2020-03-23,0.6646357815615455
2020-03-24,0.6587048852297275
2020-03-25,0.6670572809588196
2020-03-26,0.6790996246499958
2020-03-27,0.6610698943844395
2020-03-30,0.6521002029416055
2020-03-31,0.6397608327089808
2020-04-01,0.6106008582903288
2020-04-03,0.5975403360460508
2020-04-07,0.6243287247788748
2020-04-08,0.6376547359352681
2020-04-09,0.6305503891732241
2020-04-13,0.6192332126485307
2020-04-15,0.5973295396408131
2020-04-16,0.6045373515239552
2020-04-17,0.5879650320887645
2020-04-20,0.5597483998820388
2020-04-21,0.543825985464072
2020-04-22,0.5519744599463645
2020-04-23,0.5527087992529277
2020-04-24,0.5591339754846701
2020-04-27,0.5661480529976874
2020-04-28,0.5572055101566498
2020-04-29,0.5633480701737001
2020-04-30,0.5674093512485214
2020-05-04,0.5526387919627195
2020-05-05,0.5394215089062078
2020-05-06,0.5419477073224175
2020-05-07,0.5342288281989108
2020-05-08,0.523049368445058
2020-05-11,0.5157127600992183
2020-05-12,0.5158503913906994
2020-05-13,0.5073418243646329
2020-05-14,0.5209283599563526
2020-05-15,0.5149205636437039
2020-05-18,0.4856459729942236
2020-05-19,0.49427463236414365
2020-05-20,0.5008710750317581
2020-05-21,0.4983883606358527
2020-05-22,0.49601019988099676
2020-05-26,0.49340941511073777
2020-05-27,0.4963804297848233
2020-05-28,0.5045520657706533
2020-05-29,0.5192322517904066
2020-06-01,0.5151995003024246
2020-06-02,0.5190377404025527
2020-06-03,0.514330202147674
2020-06-04,0.5011922916739413
2020-06-05,0.5167468067274744
2020-06-08,0.5097594832383462
2020-06-09,0.4948624955229522
2020-06-10,0.4898286334631922
2020-06-11,0.4844759005017215
2020-06-12,0.5136834800156221
2020-06-15,0.501453196337332
2020-06-16,0.49017163919357304
2020-06-17,0.49333572239025764
2020-06-18,0.49890480002340915
2020-06-19,0.513952810361792
2020-06-22,0.5174844813774193
2020-06-23,0.5188612863966129
2020-06-24,0.4928580063292477
2020-06-25,0.5004209765030886
2020-06-26,0.4907062016075296
2020-06-29,0.48675381199251827
2020-06-30,0.48384779750095164
2020-07-01,0.48081468068730093
2020-07-02,0.4744114381965485
2020-07-03,0.47724174389454366
2020-07-06,0.4777492478705202
2020-07-07,0.4760585145093812
2020-07-08,0.4683377878444557
2020-07-09,0.47529863953705515
2020-07-10,0.4754801854330138
2020-07-13,0.47161788966651325
2020-07-14,0.46861390631829214
2020-07-15,0.4577628337873641
2020-07-16,0.45339435241714227
2020-07-17,0.452533943818612
2020-07-20,0.46238589723800844
2020-07-21,0.46094912783519787
2020-07-22,0.44752390914269813
2020-07-23,0.4507881550780637
2020-07-24,0.4485469420251842
2020-07-27,0.44304421731565496
2020-07-28,0.4460359543241148
2020-07-29,0.4428417513811831
2020-07-30,0.4386570545693163
2020-07-31,0.4437506772104027
2020-08-03,0.4344433204587401
2020-08-04,0.43731910372303434
2020-08-05,0.43267302831907795
2020-08-06,0.44000719044863357
2020-08-07,0.4506542095898772
2020-08-10,0.4516307130915027
2020-08-11,0.4457961350204243
2020-08-12,0.44678001560761843
2020-08-13,0.45023220958032445
2020-08-14,0.4438204325272104
2020-08-17,0.4530968817084039
2020-08-18,0.45213802840157746
2020-08-19,0.4471709710024053
2020-08-20,0.46078840919188757
2020-08-21,0.4616005171677825
2020-08-24,0.45659537933733785
2020-08-25,0.4565646490635931
