,equity
2019-08-19,0.998
2019-08-26,0.996004
2019-09-03,0.994011992
2019-09-11,0.992023968016
2019-09-18,0.9363473899938692
2019-09-25,1.0040258974743892
2019-10-03,1.032148135015234
2019-10-11,0.9944184980928639
2019-10-18,0.9987815052980025
2019-10-27,1.0459347458338875
2019-11-04,1.0990785315005658
2019-11-11,1.0802907157775543
2019-11-19,1.0704867325119631
2019-11-26,1.065283432542195
2019-12-03,1.0544002123140326
2019-12-10,1.0400271198227846
2019-12-17,1.0769714690918515
2019-12-24,1.0827944199163066
2020-01-01,1.0625668004247952
2020-01-08,1.0415112718125348
2020-01-15,1.0573599562462277
2020-01-22,1.020717035809981
2020-01-29,1.0188543541530464
2020-02-05,0.9913665731455469
2020-02-12,0.9792582310116835
2020-02-19,0.9697931448672629
2020-02-27,0.9390838350126067
2020-03-05,0.9448240741010882
2020-03-13,0.8844079642527302
2020-03-20,0.7740332693269993
2020-03-27,0.8280536663322566
2020-04-07,0.8527246579445639
2020-04-16,0.923890929522577
2020-04-23,0.8772487661576581
2020-04-30,0.9523236137814234
2020-05-08,0.9078456095717361
2020-05-15,0.8602932114485825
2020-05-22,0.8586450513217058
2020-06-01,0.8920436522364935
2020-06-08,0.9214175384476001
2020-06-15,0.8601799390640104
2020-06-22,0.8625646871686373
2020-06-29,0.8375650041389398
2020-07-06,0.8599689458781185
2020-07-13,0.8659355336086425
2020-07-20,0.8764896952121376
2020-07-27,0.8568507621762667
2020-08-03,0.8439811482252662
2020-08-10,0.9204426345464837
2020-08-17,0.9220344695935789
2020-08-24,0.942722844809351
2020-08-31,0.9078542200743088
2020-09-07,0.8755965919645784
2020-09-14,0.8823189474210072
2020-09-21,0.8898614801953247
2020-09-28,0.8865460549831239
2020-10-06,0.8723822362990463
2020-10-13,0.852782688287979
2020-10-20,0.8252398923431808
2020-10-27,0.8363888088408075
2020-11-03,0.8190439125112924
2020-11-10,0.8789723561976064
2020-11-17,0.9075721989019313
2020-11-24,0.9355568996522571
2020-12-02,0.9760360004714701
2020-12-09,1.0091463835534502
2020-12-16,1.006815532696816
2020-12-23,0.9632836294700433
2020-12-31,0.9572725347441179
2021-01-07,0.9818660747182927
2021-01-14,0.9891752484807207
2021-01-21,1.0019896170514129
2021-01-29,0.9593707051663976
2021-02-05,1.0184820574965296
2021-02-12,0.994092634003856
2021-02-19,1.0102482838414972
2021-02-26,1.019682268651668
2021-03-05,1.0054721565016325
2021-03-15,0.9908388981171873
2021-03-22,0.9849515017981912
2021-03-30,0.9839748355615202
2021-04-07,1.0358351402757886
2021-04-15,1.0330314866849986
2021-04-23,1.050059960837119
2021-04-30,1.067433966462813
2021-05-07,1.091503973951094
2021-05-17,1.0695216805992642
2021-05-24,1.0879397656058956
2021-05-31,1.0943803029703618
2021-06-07,1.0944226828237322
2021-06-14,1.0722461260261387
2021-06-21,1.0416421487764598
2021-06-28,1.0270466733644747
2021-07-05,1.0197837815699038
2021-07-12,1.0102091286777926
2021-07-19,1.0183169894262551
2021-07-27,1.017429363773095
2021-08-03,1.0399835341372508
2021-08-10,1.0421898813203374
2021-08-17,1.0479814382197798
2021-08-25,1.0388235650755084
2021-09-01,1.0772612139634041
2021-09-08,1.0824860403700407
2021-09-16,1.117166466412593
2021-09-23,1.1297530590943419
2021-09-30,1.1284107055577686
2021-10-07,1.1375089631057396
2021-10-14,1.239800301965692
2021-10-22,1.1729131838879634
2021-10-29,1.1139298789840473
2021-11-08,1.1439323075120262
2021-11-15,1.1348200560481054
2021-11-23,1.0830450438770587
2021-11-30,1.034773668309783
2021-12-07,1.0209232522067597
2021-12-14,1.0204261713260725
2021-12-21,0.9833966553139183
2021-12-28,1.0162181895534117
2022-01-04,1.033258657822045
2022-01-11,1.0725049767628168
2022-01-18,1.0722910223784625
2022-01-25,1.060926187355545
2022-02-02,1.07179643516712
2022-02-09,1.0595046317095358
2022-02-16,1.0184420168037749
2022-02-23,0.9778853174185618
2022-03-03,0.9618384000165026
2022-03-10,0.9432049477511205
2022-03-17,0.9744839238506299
2022-03-25,0.9554140593230964
2022-04-01,0.9371131250042156
2022-04-08,0.9810824672340842
2022-04-19,0.9505217274329539
2022-04-26,0.9175004748528035
2022-05-04,0.860656446393916
2022-05-11,0.8294893040767475
2022-05-18,0.848264286580493
2022-05-25,0.867292666618052
2022-06-01,0.873605215192697
2022-06-08,0.8790575589128602
2022-06-15,0.8453432567292927
2022-06-22,0.8111667047983205
2022-06-29,0.8265039877035661
2022-07-06,0.7864113475735737
2022-07-13,0.7757655456299534
2022-07-20,0.7865436224085118
2022-07-27,0.7728747120531758
2022-08-03,0.8079974146311281
2022-08-11,0.805635055419521
2022-08-19,0.8130183984887137
2022-08-26,0.8058540586818702
2022-09-05,0.8400151404154131
2022-09-12,0.8323447318028715
2022-09-19,0.7959972475994976
2022-09-26,0.7420856323804985
2022-10-03,0.7382964878921333
2022-10-11,0.716958720582327
2022-10-18,0.7422514770322759
2022-10-25,0.7546141396661923
2022-11-02,0.7525660741647459
2022-11-10,0.7592981308764695
2022-11-17,0.7509065946971393
2022-11-24,0.7553258380990129
2022-12-01,0.7757755216807851
2022-12-08,0.7668080194259552
2022-12-15,0.7699326286655815
2022-12-22,0.7533225138010008
2022-12-29,0.742105525195157
2023-01-05,0.7387733104594643
2023-01-12,0.7201384428100588
2023-01-19,0.7417854963977584
2023-01-27,0.7122936586063051
2023-02-03,0.716497124275285
2023-02-10,0.7163405141735183
2023-02-17,0.7047650447471479
2023-02-24,0.6932612465296528
2023-03-03,0.6924032593171787
2023-03-13,0.6645023335539145
2023-03-20,0.650389554793179
2023-03-27,0.6471812711757042
2023-04-05,0.6600536654684271
2023-04-13,0.683397410649653
2023-04-21,0.6830965624342157
2023-04-28,0.7028728148278908
2023-05-08,0.7100705835715442
2023-05-15,0.7125889235279073
2023-05-22,0.7056287213493152
2023-05-29,0.7166951408821114
2023-06-05,0.7152075900741018
2023-06-12,0.719464146186267
2023-06-19,0.7442043867130859
2023-06-26,0.735610253597576
2023-07-04,0.7436464431340123
2023-07-11,0.7257819956034419
2023-07-18,0.7187957821226282
2023-07-25,0.6948730572285465
2023-08-01,0.709793732544659
2023-08-08,0.6929198555533238
2023-08-16,0.6761527491317415
2023-08-23,0.6832306721273267
2023-08-30,0.6818999414239976
2023-09-06,0.695499322094099
2023-09-13,0.7163658117972147
2023-09-21,0.7047392464097627
2023-09-28,0.6884361664535473
2023-10-06,0.687974637002197
2023-10-13,0.6850410468981392
2023-10-20,0.6807098383557905
2023-10-30,0.6668889100543236
2023-11-06,0.6758160500269512
2023-11-13,0.691642127961167
2023-11-21,0.6995733756845387
2023-11-29,0.72522576600411
2023-12-06,0.7781219690239531
2023-12-13,0.7762237055531191
2023-12-20,0.768615850399587
2023-12-28,0.8076335120961334
2024-01-04,0.7930321433836787
2024-01-11,0.7921101843224752
2024-01-18,0.7977522247132697
2024-01-29,0.7840006087758178
2024-02-05,0.8181513090176278
2024-02-12,0.7970336303170545
2024-02-19,0.8060785487654609
